"","sourceTaxonId","sourceTaxonIds","sourceTaxonName","sourceTaxonRank","sourceTaxonPathNames","sourceTaxonPathIds","sourceTaxonPathRankNames","sourceTaxonSpeciesName","sourceTaxonSpeciesId","sourceTaxonGenusName","sourceTaxonGenusId","sourceTaxonFamilyName","sourceTaxonFamilyId","sourceTaxonOrderName","sourceTaxonOrderId","sourceTaxonClassName","sourceTaxonClassId","sourceTaxonPhylumName","sourceTaxonPhylumId","sourceTaxonKingdomName","sourceTaxonKingdomId","sourceId","sourceOccurrenceId","sourceCatalogNumber","sourceBasisOfRecordId","sourceBasisOfRecordName","sourceLifeStageId","sourceLifeStageName","sourceBodyPartId","sourceBodyPartName","sourcePhysiologicalStateId","sourcePhysiologicalStateName","sourceSexId","sourceSexName","interactionTypeName","interactionTypeId","targetTaxonId","targetTaxonIds","targetTaxonName","targetTaxonRank","targetTaxonPathNames","targetTaxonPathIds","targetTaxonPathRankNames","targetTaxonSpeciesName","targetTaxonSpeciesId","targetTaxonGenusName","targetTaxonGenusId","targetTaxonFamilyName","targetTaxonFamilyId","targetTaxonOrderName","targetTaxonOrderId","targetTaxonClassName","targetTaxonClassId","targetTaxonPhylumName","targetTaxonPhylumId","targetTaxonKingdomName","targetTaxonKingdomId","targetId","targetOccurrenceId","targetCatalogNumber","targetBasisOfRecordId","targetBasisOfRecordName","targetLifeStageId","targetLifeStageName","targetBodyPartId","targetBodyPartName","targetPhysiologicalStateId","targetPhysiologicalStateName","targetSexId","targetSexName","decimalLatitude","decimalLongitude","localityId","localityName","eventDateUnixEpoch","argumentTypeId","referenceCitation","referenceDoi","referenceUrl","sourceCitation","sourceNamespace","sourceArchiveURI","sourceDOI","sourceLastSeenAtUnixEpoch","Insect","Plant","tot","Prez"
"4760","ITIS:757559","GBIF:5042859 | INAT_TAXON:133797 | ITIS:757559 | NCBI:1889476 | OTT:3270620 | WD:Q2747101","Agapostemon texanus","species","Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon | Agapostemon texanus","ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154348 | ITIS:633921 | ITIS:633958 | ITIS:154351 | ITIS:757559","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species","Agapostemon texanus","ITIS:757559","Agapostemon","ITIS:154351","Halictidae","ITIS:154348","Hymenoptera","ITIS:152741","Insecta","ITIS:99208","Arthropoda","ITIS:82696","Animalia","ITIS:202423","da6ce6c8-ad91-4006-b2f3-742989b08201",NA,"UCSB-IZC00027132","","PreservedSpecimen","","Adult","","",NA,NA,NA,"Female","visitsFlowersOf","http://purl.obolibrary.org/obo/RO_0002622","EOL:594818","EOL:594818 | GBIF:2888380 | GBIF:8268486 | INAT_TAXON:48225 | IRMNG:10203500 | ITIS:18956 | NCBI:3467 | OTT:438086 | WD:Q158795","Eschscholzia californica","species","Plantae | Tracheophyta | Magnoliopsida | Ranunculales | Papaveraceae | Eschscholzia | Eschscholzia californica","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4346 | EOL:4348 | EOL:61884 | EOL:594818","kingdom | phylum | class | order | family | genus | species","Eschscholzia californica","EOL:594818","Eschscholzia","EOL:61884","Papaveraceae","EOL:4348","Ranunculales","EOL:4346","Magnoliopsida","EOL:283","Tracheophyta","EOL:4077","Plantae","EOL_V2:281","",NA,"","","PreservedSpecimen","","","","",NA,NA,NA,"",34.4205,-119.8586,"","UCSB Greenhouse and Garden Project",1.55658e+12,"https://en.wiktionary.org/wiki/support","https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=178805","",NA,"University of California Santa Barbara Invertebrate Zoology Collection","globalbioticinteractions/ucsb-izc","https://github.com/globalbioticinteractions/ucsb-izc/archive/6df4a24cc54f3be77ee87dc520a8c26ef0519168.zip","","2020-07-15T02:00:37.813Z",1,1,2,1
"4800","ITIS:757559","GBIF:5042859 | INAT_TAXON:133797 | ITIS:757559 | NCBI:1889476 | OTT:3270620 | WD:Q2747101","Agapostemon texanus","species","Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon | Agapostemon texanus","ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154348 | ITIS:633921 | ITIS:633958 | ITIS:154351 | ITIS:757559","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species","Agapostemon texanus","ITIS:757559","Agapostemon","ITIS:154351","Halictidae","ITIS:154348","Hymenoptera","ITIS:152741","Insecta","ITIS:99208","Arthropoda","ITIS:82696","Animalia","ITIS:202423","ae302f00-1628-4b58-ad89-1b1831cbb064",NA,"UCSB-IZC00040276","","PreservedSpecimen","","Adult","","",NA,NA,NA,"Female","interactsWith","http://purl.obolibrary.org/obo/RO_0002437","EOL_V2:2507930","EOL_V2:2507930 | GBIF:8016355 | GBIF:8590134 | INAT_TAXON:53405 | ITIS:25174 | NCBI:36612 | OTT:153973 | WD:Q21546397","Heteromeles arbutifolia","species","Plantae | Tracheophyta | Magnoliopsida | Rosales | Rosaceae | Heteromeles | Heteromeles arbutifolia","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4385 | EOL:8097 | EOL_V2:2507929 | EOL_V2:2507930","kingdom | phylum | class | order | family | genus | species","Heteromeles arbutifolia","EOL_V2:2507930","Heteromeles","EOL_V2:2507929","Rosaceae","EOL:8097","Rosales","EOL:4385","Magnoliopsida","EOL:283","Tracheophyta","EOL:4077","Plantae","EOL_V2:281","",NA,"","","PreservedSpecimen","","","","",NA,NA,NA,"",33.997278,-119.714056,"","Santa Cruz Island, main ranch chapel yard",1.56375e+12,"https://en.wiktionary.org/wiki/support","https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=181279","",NA,"University of California Santa Barbara Invertebrate Zoology Collection","globalbioticinteractions/ucsb-izc","https://github.com/globalbioticinteractions/ucsb-izc/archive/6df4a24cc54f3be77ee87dc520a8c26ef0519168.zip","","2020-07-15T02:00:37.813Z",1,1,2,1
"4802","ITIS:757559","GBIF:5042859 | INAT_TAXON:133797 | ITIS:757559 | NCBI:1889476 | OTT:3270620 | WD:Q2747101","Agapostemon texanus","species","Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon | Agapostemon texanus","ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154348 | ITIS:633921 | ITIS:633958 | ITIS:154351 | ITIS:757559","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species","Agapostemon texanus","ITIS:757559","Agapostemon","ITIS:154351","Halictidae","ITIS:154348","Hymenoptera","ITIS:152741","Insecta","ITIS:99208","Arthropoda","ITIS:82696","Animalia","ITIS:202423","ae302f00-1628-4b58-ad89-1b1831cbb064",NA,"UCSB-IZC00040276","","PreservedSpecimen","","Adult","","",NA,NA,NA,"Female","interactsWith","http://purl.obolibrary.org/obo/RO_0002437","EOL:60669","EOL:60669 | GBIF:2928386 | IRMNG:1061081 | ITIS:30701 | NCBI:4122 | OTT:1071034 | WD:Q147507 | WORMS:382473","Convolvulus","genus","Plantae | Tracheophyta | Magnoliopsida | Solanales | Convolvulaceae | Convolvulus","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4430 | EOL:4431 | EOL:60669","kingdom | phylum | class | order | family | genus","","","Convolvulus","EOL:60669","Convolvulaceae","EOL:4431","Solanales","EOL:4430","Magnoliopsida","EOL:283","Tracheophyta","EOL:4077","Plantae","EOL_V2:281","",NA,"","","PreservedSpecimen","","","","",NA,NA,NA,"",33.997278,-119.714056,"","Santa Cruz Island, main ranch chapel yard",1.56375e+12,"https://en.wiktionary.org/wiki/support","https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=181279","",NA,"University of California Santa Barbara Invertebrate Zoology Collection","globalbioticinteractions/ucsb-izc","https://github.com/globalbioticinteractions/ucsb-izc/archive/6df4a24cc54f3be77ee87dc520a8c26ef0519168.zip","","2020-07-15T02:00:37.813Z",1,1,2,1
"4821","ITIS:757559","GBIF:5042859 | INAT_TAXON:133797 | ITIS:757559 | NCBI:1889476 | OTT:3270620 | WD:Q2747101","Agapostemon texanus","species","Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon | Agapostemon texanus","ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154348 | ITIS:633921 | ITIS:633958 | ITIS:154351 | ITIS:757559","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species","Agapostemon texanus","ITIS:757559","Agapostemon","ITIS:154351","Halictidae","ITIS:154348","Hymenoptera","ITIS:152741","Insecta","ITIS:99208","Arthropoda","ITIS:82696","Animalia","ITIS:202423","9a1e5ccb-cac1-4250-86b5-9111f4719b56",NA,"UCSB-IZC00003496","","PreservedSpecimen","","Adult","","",NA,NA,NA,"Female","interactsWith","http://purl.obolibrary.org/obo/RO_0002437","ITIS:40662","GBIF:2704509 | GBIF:7853054 | INAT_TAXON:58372 | IRMNG:11284049 | ITIS:40662 | NCBI:38594 | OTT:34383 | WD:Q3013802","Distichlis spicata","species","Plantae | Viridiplantae | Streptophyta | Embryophyta | Tracheophyta | Spermatophytina | Magnoliopsida | Lilianae | Poales | Poaceae | Distichlis | Distichlis spicata","ITIS:202422 | ITIS:954898 | ITIS:846494 | ITIS:954900 | ITIS:846496 | ITIS:846504 | ITIS:18063 | ITIS:846542 | ITIS:846620 | ITIS:40351 | ITIS:40661 | ITIS:40662","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | superorder | order | family | genus | species","Distichlis spicata","ITIS:40662","Distichlis","ITIS:40661","Poaceae","ITIS:40351","Poales","ITIS:846620","Magnoliopsida","ITIS:18063","Tracheophyta","ITIS:846496","Plantae","ITIS:202422","",NA,"","","PreservedSpecimen","","","","",NA,NA,NA,"",34.4099,-119.849,"","University of California Santa Barbara Lagoon Island",1.52997e+12,"https://en.wiktionary.org/wiki/support","https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=127448","",NA,"University of California Santa Barbara Invertebrate Zoology Collection","globalbioticinteractions/ucsb-izc","https://github.com/globalbioticinteractions/ucsb-izc/archive/6df4a24cc54f3be77ee87dc520a8c26ef0519168.zip","","2020-07-15T02:00:37.813Z",1,1,2,1
"4859","ITIS:757559","GBIF:5042859 | INAT_TAXON:133797 | ITIS:757559 | NCBI:1889476 | OTT:3270620 | WD:Q2747101","Agapostemon texanus","species","Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon | Agapostemon texanus","ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154348 | ITIS:633921 | ITIS:633958 | ITIS:154351 | ITIS:757559","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species","Agapostemon texanus","ITIS:757559","Agapostemon","ITIS:154351","Halictidae","ITIS:154348","Hymenoptera","ITIS:152741","Insecta","ITIS:99208","Arthropoda","ITIS:82696","Animalia","ITIS:202423","74d9cc6f-a21c-4f9b-afba-04ec60ae5105",NA,"UCSB-IZC00041859","","PreservedSpecimen","","Adult","","",NA,NA,NA,"Female","interactsWith","http://purl.obolibrary.org/obo/RO_0002437","EOL:582958","EOL:582958 | GBIF:2928390 | GBIF:8760504 | INAT_TAXON:53021 | IRMNG:10762108 | ITIS:30705 | NCBI:4123 | OTT:1071032 | WD:Q111346","Convolvulus arvensis","species","Plantae | Tracheophyta | Magnoliopsida | Solanales | Convolvulaceae | Convolvulus | Convolvulus arvensis","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4430 | EOL:4431 | EOL:60669 | EOL:582958","kingdom | phylum | class | order | family | genus | species","Convolvulus arvensis","EOL:582958","Convolvulus","EOL:60669","Convolvulaceae","EOL:4431","Solanales","EOL:4430","Magnoliopsida","EOL:283","Tracheophyta","EOL:4077","Plantae","EOL_V2:281","",NA,"","","PreservedSpecimen","","","","",NA,NA,NA,"",33.997278,-119.714056,"","Santa Cruz Island, main ranch chapel yard",1.5673e+12,"https://en.wiktionary.org/wiki/support","https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=181403","",NA,"University of California Santa Barbara Invertebrate Zoology Collection","globalbioticinteractions/ucsb-izc","https://github.com/globalbioticinteractions/ucsb-izc/archive/6df4a24cc54f3be77ee87dc520a8c26ef0519168.zip","","2020-07-15T02:00:37.813Z",1,1,2,1
"4941","ITIS:757559","GBIF:5042859 | INAT_TAXON:133797 | ITIS:757559 | NCBI:1889476 | OTT:3270620 | WD:Q2747101","Agapostemon texanus","species","Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon | Agapostemon texanus","ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154348 | ITIS:633921 | ITIS:633958 | ITIS:154351 | ITIS:757559","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species","Agapostemon texanus","ITIS:757559","Agapostemon","ITIS:154351","Halictidae","ITIS:154348","Hymenoptera","ITIS:152741","Insecta","ITIS:99208","Arthropoda","ITIS:82696","Animalia","ITIS:202423","1a10f792-efaa-48d0-a835-95f540e6b19a",NA,"63218","","PreservedSpecimen","","Adult","","",NA,NA,NA,"Male","interactsWith","http://purl.obolibrary.org/obo/RO_0002437","EOL:468106","EOL:468106 | GBIF:3119195 | GBIF:9206251 | INAT_TAXON:57983 | IRMNG:10209455 | ITIS:36616 | NCBI:4232 | OTT:515712 | WD:Q171497","Helianthus annuus","species","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Helianthus | Helianthus annuus","EOL_V2:281 | EOL:4077 | EOL:283 | EOL:4205 | EOL:4206 | EOL:44915 | EOL:468106","kingdom | phylum | class | order | family | genus | species","Helianthus annuus","EOL:468106","Helianthus","EOL:44915","Asteraceae","EOL:4206","Asterales","EOL:4205","Magnoliopsida","EOL:283","Tracheophyta","EOL:4077","Plantae","EOL_V2:281","",NA,"","","PreservedSpecimen","","","","",NA,NA,NA,"",35.872534,-119.391126,"","Corcoran",1.4758e+12,"https://en.wiktionary.org/wiki/support","https://scan-bugs.org:443/portal/collections/individual/index.php?occid=39305058","",NA,"Symbiota Collections of Arthropods Network (SCAN)","globalbioticinteractions/scan","https://github.com/globalbioticinteractions/scan/archive/de508d162f60698d3733199e79cff6a6bc4913ee.zip","","2020-07-15T02:08:12.164Z",1,1,2,1
"4960","ITIS:757559","GBIF:5042859 | INAT_TAXON:133797 | ITIS:757559 | NCBI:1889476 | OTT:3270620 | WD:Q2747101","Agapostemon texanus","species","Animalia | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Hexapoda | Insecta | Pterygota | Neoptera | Holometabola | Hymenoptera | Apocrita | Aculeata | Apoidea | Halictidae | Halictinae | Halictini | Agapostemon | Agapostemon texanus","ITIS:202423 | ITIS:914154 | ITIS:914155 | ITIS:914158 | ITIS:82696 | ITIS:563886 | ITIS:99208 | ITIS:100500 | ITIS:563890 | ITIS:914213 | ITIS:152741 | ITIS:152864 | ITIS:709253 | ITIS:154344 | ITIS:154348 | ITIS:633921 | ITIS:633958 | ITIS:154351 | ITIS:757559","kingdom | subkingdom | infrakingdom | superphylum | phylum | subphylum | class | subclass | infraclass | superorder | order | suborder | infraorder | superfamily | family | subfamily | tribe | genus | species","Agapostemon texanus","ITIS:757559","Agapostemon","ITIS:154351","Halictidae","ITIS:154348","Hymenoptera","ITIS:152741","Insecta","ITIS:99208","Arthropoda","ITIS:82696","Animalia","ITIS:202423","00b4a03c-af11-49c5-8ba1-315825dd7beb",NA,"UCSB-IZC00005618","","PreservedSpecimen","","Adult","","",NA,NA,NA,"Male","visitsFlowersOf","http://purl.obolibrary.org/obo/RO_0002622","GBIF:7225716","GBIF:7225716 | INAT_TAXON:79652","Calystegia macrostegia macrostegia","subspecies","Plantae | Tracheophyta | Magnoliopsida | Solanales | Convolvulaceae | Calystegia | Calystegia macrostegia | Calystegia macrostegia macrostegia","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1176 | GBIF:2389 | GBIF:2928418 | GBIF:2928443 | GBIF:7225716","kingdom | phylum | class | order | family | genus | species | subspecies","Calystegia macrostegia","GBIF:2928443","Calystegia","GBIF:2928418","Convolvulaceae","GBIF:2389","Solanales","GBIF:1176","Magnoliopsida","GBIF:220","Tracheophyta","GBIF:7707728","Plantae","GBIF:6","",NA,"","","PreservedSpecimen","","","","",NA,NA,NA,"",34.4058,-119.8456,"","UCSB West Lagoon",1.46647e+12,"https://en.wiktionary.org/wiki/support","https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=100292","",NA,"University of California Santa Barbara Invertebrate Zoology Collection","globalbioticinteractions/ucsb-izc","https://github.com/globalbioticinteractions/ucsb-izc/archive/6df4a24cc54f3be77ee87dc520a8c26ef0519168.zip","","2020-07-15T02:00:37.813Z",1,1,2,1
"6034","INAT_TAXON:82525","GBIF:1352577 | INAT_TAXON:82525 | ITIS:754343 | NCBI:178018 | OTT:710302 | WD:Q2415222","Augochlorella pomoniella","species","Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Augochlorella | Augochlorella pomoniella","","kingdom | phylum | class | order | family | genus | species","Augochlorella pomoniella","","Augochlorella","","Halictidae","","Hymenoptera","","Insecta","","Arthropoda","","Animalia","","INAT:8868809",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"","visitsFlowersOf","http://purl.obolibrary.org/obo/RO_0002622","GBIF:3141064","GBIF:3141064 | IRMNG:1298323 | ITIS:38442 | NCBI:19031 | OTT:670737 | WD:Q5392954","Stephanomeria","genus","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Stephanomeria","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:414 | GBIF:3065 | GBIF:3141064","kingdom | phylum | class | order | family | genus","","","Stephanomeria","GBIF:3141064","Asteraceae","GBIF:3065","Asterales","GBIF:414","Magnoliopsida","GBIF:220","Tracheophyta","GBIF:7707728","Plantae","GBIF:6","",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"",33.0024373,-117.0068192,"","",1.50566e+12,"https://en.wiktionary.org/wiki/support","Patricia Simpson. 2017. Augochlorella pomoniella nectar plant Stephanomeria. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/8868809> on 17 Jul 2020.","",NA,"http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","globalbioticinteractions/inaturalist","https://github.com/globalbioticinteractions/inaturalist/archive/59c31764cf861433f23240a777ebc7bc2a51381e.zip","","2020-07-14T23:46:55.504Z",1,1,2,1
"6039","INAT_TAXON:82525","GBIF:1352577 | INAT_TAXON:82525 | ITIS:754343 | NCBI:178018 | OTT:710302 | WD:Q2415222","Augochlorella pomoniella","species","Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Augochlorella | Augochlorella pomoniella","","kingdom | phylum | class | order | family | genus | species","Augochlorella pomoniella","","Augochlorella","","Halictidae","","Hymenoptera","","Insecta","","Arthropoda","","Animalia","","INAT:6361640",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"","interactsWith","http://purl.obolibrary.org/obo/RO_0002437","INAT_TAXON:77940","GBIF:5387204 | INAT_TAXON:77940 | IRMNG:10198768 | ITIS:38053 | NCBI:122584 | OTT:239085 | WD:Q6740923","Malacothrix saxatilis","species","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Malacothrix | Malacothrix saxatilis","","kingdom | phylum | class | order | family | genus | species","Malacothrix saxatilis","","Malacothrix","","Asteraceae","","Asterales","","Magnoliopsida","","Tracheophyta","","Plantae","","",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"",34.03964479,-119.5702171,"","",1.49565e+12,"https://en.wiktionary.org/wiki/support","dlbowls. 2017. Augochlorella pomoniella associated species with names lookup Malacothrix saxatilis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/6361640> on 17 Jul 2020.","",NA,"http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","globalbioticinteractions/inaturalist","https://github.com/globalbioticinteractions/inaturalist/archive/59c31764cf861433f23240a777ebc7bc2a51381e.zip","","2020-07-14T23:46:55.504Z",1,1,2,1
"6045","INAT_TAXON:82525","GBIF:1352577 | INAT_TAXON:82525 | ITIS:754343 | NCBI:178018 | OTT:710302 | WD:Q2415222","Augochlorella pomoniella","species","Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Augochlorella | Augochlorella pomoniella","","kingdom | phylum | class | order | family | genus | species","Augochlorella pomoniella","","Augochlorella","","Halictidae","","Hymenoptera","","Insecta","","Arthropoda","","Animalia","","INAT:41056139",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"","visits","http://purl.obolibrary.org/obo/RO_0002618","INAT_TAXON:64141","GBIF:3118771 | INAT_TAXON:64141 | IRMNG:10206890 | ITIS:37307 | NCBI:183026 | OTT:528984 | WD:Q5375329","Encelia californica","species","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Encelia | Encelia californica","","kingdom | phylum | class | order | family | genus | species","Encelia californica","","Encelia","","Asteraceae","","Asterales","","Magnoliopsida","","Tracheophyta","","Plantae","","",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"",32.71803333,-117.2442633,"","",1.58559e+12,"https://en.wiktionary.org/wiki/support","bonnienickel. 2020. Augochlorella pomoniella name of associated plant Encelia californica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/41056139> on 17 Jul 2020.","",NA,"http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","globalbioticinteractions/inaturalist","https://github.com/globalbioticinteractions/inaturalist/archive/59c31764cf861433f23240a777ebc7bc2a51381e.zip","","2020-07-14T23:46:55.504Z",1,1,2,1
"6051","INAT_TAXON:82525","GBIF:1352577 | INAT_TAXON:82525 | ITIS:754343 | NCBI:178018 | OTT:710302 | WD:Q2415222","Augochlorella pomoniella","species","Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Augochlorella | Augochlorella pomoniella","","kingdom | phylum | class | order | family | genus | species","Augochlorella pomoniella","","Augochlorella","","Halictidae","","Hymenoptera","","Insecta","","Arthropoda","","Animalia","","INAT:3359488",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"","interactsWith","http://purl.obolibrary.org/obo/RO_0002437","INAT_TAXON:58014","GBIF:3118138 | INAT_TAXON:58014 | IRMNG:10199879 | ITIS:37159 | NCBI:71062 | OTT:1062879 | WD:Q5170305","Corethrogyne filaginifolia","species","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Corethrogyne | Corethrogyne filaginifolia","","kingdom | phylum | class | order | family | genus | species","Corethrogyne filaginifolia","","Corethrogyne","","Asteraceae","","Asterales","","Magnoliopsida","","Tracheophyta","","Plantae","","",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"",32.7153292,-117.1572551,"","",1.31933e+12,"https://en.wiktionary.org/wiki/support","justinscioli. 2011. Augochlorella pomoniella associated species with names lookup Corethrogyne filaginifolia. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/3359488> on 17 Jul 2020.","",NA,"http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","globalbioticinteractions/inaturalist","https://github.com/globalbioticinteractions/inaturalist/archive/59c31764cf861433f23240a777ebc7bc2a51381e.zip","","2020-07-14T23:46:55.504Z",1,1,2,1
"6052","INAT_TAXON:82525","GBIF:1352577 | INAT_TAXON:82525 | ITIS:754343 | NCBI:178018 | OTT:710302 | WD:Q2415222","Augochlorella pomoniella","species","Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae | Augochlorella | Augochlorella pomoniella","","kingdom | phylum | class | order | family | genus | species","Augochlorella pomoniella","","Augochlorella","","Halictidae","","Hymenoptera","","Insecta","","Arthropoda","","Animalia","","INAT:33467307",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"","eats","http://purl.obolibrary.org/obo/RO_0002470","INAT_TAXON:58831","GBIF:5401996 | INAT_TAXON:58831 | IRMNG:11384165 | ITIS:37668 | NCBI:1573925 | OTT:3898467 | WD:Q13919183","Heterotheca grandiflora","species","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Heterotheca | Heterotheca grandiflora","","kingdom | phylum | class | order | family | genus | species","Heterotheca grandiflora","","Heterotheca","","Asteraceae","","Asterales","","Magnoliopsida","","Tracheophyta","","Plantae","","",NA,"","no:match","HumanObservation","","","","",NA,NA,NA,"",32.71954146,-117.241105,"","",1.56798e+12,"https://en.wiktionary.org/wiki/support","Patricia Simpson. 2019. Augochlorella pomoniella host plant Heterotheca grandiflora. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/33467307> on 17 Jul 2020.","",NA,"http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","globalbioticinteractions/inaturalist","https://github.com/globalbioticinteractions/inaturalist/archive/59c31764cf861433f23240a777ebc7bc2a51381e.zip","","2020-07-14T23:46:55.504Z",1,1,2,1
